Gata2,Gata1,Fog1,EKLF,Fli1,SCL,Cebpa,Pu.1,cJun,EgrNab,Gfi1,labels
0.6341,0.7738,0.2456,0.2387,0.1153,0.7985,0.4897,0.0148,0.1577,0.1457,0.0154,progenitorEry
0.6352,0.7905,0.2633,0.2428,0.1168,0.8144,0.4607,0.0138,0.1452,0.1345,0.0141,progenitorEry
0.636,0.807,0.2763,0.252,0.1138,0.8305,0.4335,0.015,0.135,0.1254,0.014,progenitorEry
0.6322,0.8231,0.2887,0.2595,0.1102,0.8415,0.4037,0.0115,0.1216,0.1172,0.0174,progenitorEry
0.629,0.8384,0.2979,0.2678,0.1081,0.8536,0.3766,0.0149,0.1121,0.1032,0.0175,progenitorEry
0.6238,0.8474,0.3051,0.2776,0.104,0.8605,0.3496,0.0165,0.1039,0.094,0.0215,progenitorEry
0.6192,0.8593,0.3165,0.2851,0.1014,0.8706,0.324,0.0165,0.0949,0.0856,0.0212,progenitorEry
0.6156,0.8678,0.3298,0.2935,0.0962,0.88,0.3031,0.0139,0.0867,0.0802,0.0261,progenitorEry
0.6117,0.8787,0.3425,0.3021,0.0981,0.8878,0.286,0.0131,0.0786,0.07,0.0293,progenitorEry
0.6071,0.8869,0.3557,0.3125,0.0958,0.8941,0.2657,0.0145,0.0749,0.0632,0.0355,progenitorEry
0.5986,0.8922,0.3632,0.319,0.0955,0.9,0.2488,0.0159,0.0694,0.057,0.0374,progenitorEry
0.5905,0.8954,0.3657,0.3241,0.0931,0.9087,0.2322,0.0146,0.0654,0.0543,0.0427,progenitorEry
0.5838,0.8963,0.3741,0.3335,0.0956,0.9119,0.2226,0.0167,0.0628,0.0495,0.0489,progenitorEry
0.5813,0.9027,0.3806,0.3409,0.0882,0.9175,0.2105,0.0183,0.0597,0.0471,0.0581,progenitorEry
0.5767,0.905,0.3907,0.3539,0.0875,0.922,0.1973,0.0135,0.0556,0.0435,0.0668,progenitorEry
0.5717,0.9083,0.3967,0.3635,0.0866,0.9295,0.1883,0.0145,0.053,0.0374,0.0707,Ery
0.5698,0.9155,0.4027,0.371,0.0831,0.9328,0.1767,0.0136,0.0535,0.0327,0.0822,Ery
0.567,0.9177,0.4084,0.3811,0.0787,0.9375,0.1645,0.0127,0.0462,0.0305,0.0959,Ery
0.5664,0.9246,0.4147,0.3923,0.0778,0.9399,0.1561,0.0129,0.041,0.0263,0.1112,Ery
0.5642,0.9319,0.4157,0.4011,0.0762,0.9401,0.1501,0.0144,0.0385,0.0212,0.1246,Ery
0.5624,0.9355,0.4219,0.4165,0.0733,0.9446,0.1423,0.0119,0.033,0.014,0.1447,Ery
0.5555,0.9437,0.4247,0.4277,0.0723,0.9476,0.1344,0.0151,0.0299,0.0117,0.1783,Ery
0.5533,0.9452,0.4292,0.4351,0.0692,0.9504,0.1257,0.0092,0.0296,0.0066,0.212,Ery
0.5549,0.9466,0.4325,0.4457,0.0652,0.9532,0.1207,0.0106,0.0254,0.0041,0.2469,Ery
0.5509,0.9508,0.4387,0.4559,0.0621,0.9564,0.1144,0.0085,0.0224,0.0069,0.2793,Ery
0.5523,0.9542,0.4399,0.461,0.0596,0.9553,0.1056,0.009,0.0215,0.0059,0.2985,Ery
0.5477,0.9519,0.4398,0.468,0.0595,0.963,0.1035,0.0088,0.0198,0.0044,0.3173,Ery
0.5465,0.9524,0.4417,0.4841,0.0552,0.9631,0.1006,0.0093,0.0212,0.003,0.3342,Ery
0.5435,0.9538,0.4457,0.4936,0.0556,0.9652,0.0974,0.0125,0.0174,0.0028,0.3524,Ery
0.5425,0.9534,0.4488,0.502,0.0526,0.9637,0.0956,0.0104,0.0148,0.0031,0.3659,Ery
0.5394,0.9545,0.4515,0.5094,0.0483,0.9685,0.0921,0.0113,0.0145,0.002,0.3746,Ery
0.5364,0.9577,0.4528,0.5258,0.0466,0.9713,0.0902,0.0141,0.0145,0.0047,0.3804,Ery
0.535,0.96,0.4567,0.5378,0.0462,0.969,0.0861,0.0127,0.0136,0.0033,0.3855,Ery
0.5336,0.9612,0.4535,0.553,0.0445,0.9699,0.0849,0.009,0.0122,0.004,0.3898,Ery
0.5333,0.961,0.4578,0.5634,0.0441,0.9697,0.0875,0.0096,0.0137,0.0021,0.3943,Ery
0.5296,0.9628,0.4592,0.577,0.0424,0.9745,0.0851,0.0102,0.0123,0.0046,0.3997,Ery
0.5262,0.9617,0.4584,0.5886,0.0419,0.9755,0.084,0.0094,0.0111,0.0058,0.4003,Ery
0.5256,0.961,0.4602,0.5961,0.0401,0.9768,0.084,0.0109,0.0106,0.0056,0.3967,Ery
0.5252,0.962,0.4632,0.6069,0.038,0.9755,0.0798,0.0154,0.01,0.0049,0.3958,Ery
0.5247,0.9625,0.4659,0.6176,0.0363,0.9756,0.0743,0.011,0.0114,0.0058,0.3909,Ery
0.5224,0.965,0.4695,0.6248,0.0371,0.9738,0.075,0.0136,0.0087,0.0053,0.383,Ery
0.5218,0.962,0.471,0.6345,0.0366,0.9751,0.0727,0.0114,0.0077,0.0023,0.3819,Ery
0.5211,0.9625,0.4738,0.6465,0.0395,0.9738,0.0731,0.0121,0.0059,0.0071,0.3777,Ery
0.5192,0.9622,0.475,0.6501,0.0394,0.9743,0.0735,0.0085,0.0038,0.0036,0.3706,Ery
0.5196,0.9635,0.4745,0.6546,0.0369,0.9774,0.0751,0.0081,0.0055,0.0059,0.3718,Ery
0.5189,0.9642,0.4776,0.6605,0.0359,0.9782,0.0741,0.0079,0.0039,0.0083,0.3682,Ery
0.5158,0.9633,0.4768,0.6613,0.0353,0.9781,0.0703,0.0039,0.0044,0.0073,0.364,Ery
0.5188,0.9659,0.4794,0.6638,0.0304,0.9792,0.0691,0.0046,-0.0003,0.0008,0.3562,Ery
0.5187,0.9628,0.4797,0.6698,0.031,0.9807,0.0692,0.0056,0.0027,0.0012,0.3519,Ery
0.5191,0.9646,0.4808,0.6776,0.0297,0.978,0.0673,0.0093,0.0003,0.0019,0.3478,Ery
0.5201,0.9615,0.486,0.6857,0.0263,0.9789,0.0673,0.0076,0.0026,0.0059,0.3432,Ery
0.5221,0.9605,0.4821,0.6905,0.0279,0.982,0.0644,0.0051,0.0029,0.005,0.3348,Ery
0.5223,0.9593,0.4826,0.6953,0.0199,0.9872,0.0655,0.0035,0.0057,0.0041,0.3308,Ery
0.524,0.9646,0.4817,0.7012,0.0184,0.9859,0.0629,0.0057,0.0082,0.0007,0.3269,Ery
0.526,0.9628,0.4831,0.7102,0.0151,0.9831,0.0661,0.0048,0.0063,-0.0021,0.323,Ery
0.5256,0.9669,0.4795,0.714,0.0127,0.982,0.0635,0.0029,0.0019,0.0005,0.317,Ery
0.525,0.966,0.4803,0.7181,0.0105,0.9801,0.0643,-0.0024,0.0008,-0.0015,0.3144,Ery
0.5251,0.969,0.4778,0.7233,0.0094,0.9789,0.0608,-0.0002,0.0003,-0.0021,0.311,Ery
0.5278,0.9697,0.4804,0.7299,0.0099,0.9808,0.0577,-0.0039,-0.0016,-0.0034,0.3051,Ery
0.5278,0.9687,0.484,0.7376,0.0099,0.9774,0.0536,-0.0037,0.0013,-0.001,0.2971,Ery
0.5252,0.9712,0.4847,0.7412,0.0118,0.9801,0.054,-0.0032,0.0037,-0.0014,0.2914,Ery
0.5276,0.9702,0.4834,0.7455,0.0146,0.9826,0.0547,-0.0051,0.0052,0.0022,0.2848,Ery
0.529,0.9717,0.4856,0.7501,0.0118,0.9798,0.0557,-0.0033,0.0037,-0.0016,0.278,Ery
0.5282,0.9729,0.4852,0.7516,0.0124,0.9792,0.0557,-0.0026,0.0044,-0.0032,0.276,Ery
0.526,0.9709,0.4882,0.7558,0.0124,0.9771,0.0583,-0.0037,0.0044,-0.0049,0.2701,Ery
0.527,0.9734,0.4886,0.7595,0.0113,0.979,0.055,-0.0032,0.0028,-0.0047,0.2644,Ery
0.5281,0.9765,0.487,0.7605,0.0106,0.9772,0.0593,-0.0024,0.0011,-0.002,0.2591,Ery
0.5247,0.9772,0.4868,0.7643,0.013,0.9794,0.0593,-0.0026,-0.0014,0.0009,0.2572,Ery
0.5252,0.9779,0.4875,0.7647,0.0084,0.9793,0.0621,-0.0038,0.0029,0.001,0.2552,Ery
0.5239,0.9783,0.4885,0.7701,0.0086,0.9812,0.0608,-0.0039,0.0008,0.0032,0.2561,Ery
0.5209,0.9749,0.4852,0.7708,0.0099,0.9829,0.0556,-0.001,0.0007,0.0029,0.2567,Ery
0.5231,0.9754,0.4852,0.7692,0.0112,0.9844,0.054,0.0041,-0.0015,0.001,0.2559,Ery
0.522,0.9749,0.4858,0.7704,0.0111,0.9839,0.0556,-1.00E-04,0.0022,-0.0014,0.2516,Ery
0.5224,0.9775,0.4882,0.7698,0.0144,0.9854,0.0552,1.00E-04,0.0014,-0.0027,0.2459,Ery
0.5235,0.9796,0.4915,0.7709,0.0118,0.9852,0.0528,0.0006,-0.0012,-0.0054,0.2453,Ery
0.525,0.9828,0.4919,0.7703,0.0099,0.9866,0.0515,-0.0036,-0.0029,-0.0067,0.2405,Ery
0.5229,0.9851,0.4914,0.7683,0.0099,0.9875,0.0525,-0.0019,-0.0034,-0.0049,0.2358,Ery
0.5235,0.985,0.4915,0.7691,0.0071,0.9885,0.0508,-0.0006,-0.0017,-0.0026,0.2347,Ery
0.5216,0.9836,0.4919,0.7739,0.0078,0.9912,0.0548,-0.0036,-0.0007,-0.0012,0.2338,Ery
0.5204,0.9768,0.4917,0.7724,0.0089,0.9875,0.0534,-0.0071,-0.0011,-0.0009,0.2304,Ery
0.5205,0.9735,0.4889,0.7759,0.0078,0.9862,0.0521,-0.0042,-0.005,0.0017,0.2289,Ery
0.5192,0.9777,0.4866,0.7793,0.0085,0.9875,0.0526,-0.0046,-0.003,-0.0031,0.229,Ery
0.5206,0.9777,0.4859,0.7787,0.0155,0.9841,0.0529,-0.0047,-0.0065,-0.0018,0.2277,Ery
0.5178,0.977,0.4878,0.7762,0.0166,0.9844,0.055,-0.0068,-0.0041,-0.0046,0.2303,Ery
0.5216,0.9768,0.4887,0.773,0.0136,0.9828,0.0566,-0.0071,-0.0026,-0.0045,0.2297,Ery
0.5237,0.9734,0.4914,0.7712,0.0157,0.9866,0.0585,-0.0056,0.0014,-0.0047,0.233,Ery
0.5226,0.9705,0.4927,0.7715,0.0166,0.9824,0.0573,-0.0038,-0.0002,-0.0044,0.2322,Ery
0.5177,0.9735,0.4895,0.7726,0.0137,0.9794,0.0564,-0.0017,0.0006,-0.0031,0.2335,Ery
0.5216,0.9711,0.4915,0.7718,0.0163,0.9836,0.0547,-0.0005,0.0004,-0.0005,0.2348,Ery
0.5215,0.971,0.4913,0.7756,0.0169,0.9843,0.0566,0.0035,-0.0044,0.0007,0.2346,Ery
0.5169,0.9751,0.4893,0.7757,0.0146,0.9823,0.0575,0.0046,-0.0064,0.0005,0.2333,Ery
0.5152,0.9722,0.4888,0.7798,0.0136,0.9842,0.06,0.0044,-0.0058,0.0018,0.2352,Ery
0.5177,0.9746,0.4913,0.7838,0.0133,0.9871,0.0616,0.0045,-0.0037,0.0005,0.2394,Ery
0.5177,0.9796,0.4886,0.7842,0.0107,0.9895,0.0621,0.0049,-0.0025,0.001,0.2461,Ery
0.5121,0.9746,0.4868,0.7861,0.0122,0.9896,0.0635,0.0033,-0.0022,0.0014,0.2524,Ery
0.8011,-0.002,-0.0005,-0.0025,-0.0006,-0.0005,0.7999,0.8025,-0.0011,0.0004,-0.0023,progenitorMk
0.7254,-0.004,0.0018,-0.0014,0.0009,-0.0037,0.8206,0.7303,0.0774,0.0073,0.0925,progenitorMk
0.6563,-1.00E-04,0.001,-0.0015,0.0012,-0.0051,0.8369,0.6562,0.1091,0.0186,0.1556,progenitorMk
0.5972,0.0033,-0.0034,-0.0019,0.0058,-0.004,0.8547,0.5993,0.1197,0.0248,0.1866,progenitorMk
0.5387,0.0009,-0.0055,-0.0043,0.007,-0.0026,0.8688,0.5474,0.1274,0.0289,0.2038,progenitorMk
0.4913,-0.0005,-0.0087,-0.0068,0.0032,-0.0028,0.8842,0.4983,0.1326,0.0303,0.2164,progenitorMk
0.4448,0.0068,-0.0113,-0.0058,0.0014,-0.0074,0.8962,0.4568,0.139,0.0327,0.2277,progenitorMk
0.4046,0.0077,-0.0125,-0.0061,0.0016,-0.0087,0.9053,0.4188,0.1407,0.0365,0.233,progenitorMk
0.3729,0.0101,-0.0114,-0.0016,-0.0019,-0.0089,0.9145,0.3851,0.1477,0.036,0.2315,progenitorMk
0.339,0.0158,-0.008,0.0004,0.0004,-0.0087,0.922,0.3573,0.1494,0.0354,0.2327,progenitorMk
0.3094,0.017,-0.0073,-0.0005,0.0023,-0.0084,0.9328,0.3339,0.1502,0.0366,0.2313,progenitorMk
0.2857,0.0235,-0.0061,0.0026,0.0028,-0.0105,0.9386,0.3113,0.1486,0.0383,0.2252,progenitorMk
0.2658,0.0286,-0.0042,-0.0024,0.0022,-0.009,0.9442,0.2947,0.1539,0.0371,0.2226,progenitorMk
0.2496,0.0353,-0.0101,-0.003,0.0044,-0.003,0.951,0.2759,0.1558,0.0437,0.2225,progenitorMk
0.2329,0.0379,-0.0061,0,0.0035,-0.0011,0.9579,0.2657,0.1509,0.0434,0.2163,progenitorMk
0.2161,0.0457,-0.0048,0.0002,0.0042,0.0031,0.9606,0.2531,0.148,0.0467,0.2124,progenitorMk
0.2053,0.0471,-0.0025,0.0014,0.0062,0.0016,0.9666,0.2394,0.1459,0.0494,0.2069,progenitorMk
0.1936,0.0497,-0.0036,-0.0002,0.0088,0.0066,0.9692,0.2358,0.144,0.0522,0.1984,progenitorMk
0.1842,0.0547,-0.0031,0.0023,0.0051,0.0115,0.9741,0.2265,0.1497,0.0572,0.1891,progenitorMk
0.1788,0.0579,-0.0036,0.0007,0.0036,0.0164,0.9756,0.2217,0.1537,0.0592,0.1796,progenitorMk
0.1775,0.0596,-0.0037,0.0037,0.0061,0.0181,0.9745,0.2183,0.1601,0.0639,0.1682,progenitorMk
0.1706,0.0646,-0.007,0.0078,0.0064,0.0223,0.9785,0.2118,0.1681,0.0657,0.1579,progenitorMk
0.165,0.0673,-0.0081,0.008,0.0055,0.0245,0.981,0.2081,0.1738,0.072,0.1508,progenitorMk
0.1597,0.0743,-0.0079,0.0093,0.0086,0.0299,0.9832,0.2023,0.182,0.0757,0.1418,progenitorMk
0.1548,0.0776,-0.0043,0.0112,0.0107,0.0332,0.9863,0.1975,0.1899,0.0829,0.1312,progenitorMk
0.1544,0.0805,0.0033,0.0116,0.0133,0.0383,0.9858,0.1931,0.1956,0.0886,0.1259,progenitorMk
0.1507,0.0833,0.0069,0.0102,0.014,0.0443,0.9919,0.1916,0.208,0.0951,0.1203,progenitorMk
0.1465,0.0834,0.0088,0.0136,0.0128,0.0465,0.991,0.1897,0.2156,0.1039,0.1122,progenitorMk
0.1417,0.0823,0.0072,0.0154,0.0157,0.0489,0.9936,0.1866,0.2312,0.1144,0.1092,progenitorMk
0.1432,0.0863,0.0065,0.0133,0.0189,0.051,0.994,0.1873,0.2468,0.1232,0.1,progenitorMk
0.1409,0.0904,0.0065,0.0144,0.0202,0.0546,0.9975,0.1846,0.2601,0.1344,0.0916,progenitorMk
0.1404,0.0933,0.0092,0.0141,0.0191,0.0588,0.9977,0.1864,0.2787,0.1504,0.0829,progenitorMk
0.1336,0.0973,0.0129,0.0148,0.0191,0.0609,0.9984,0.1857,0.2982,0.1677,0.0751,progenitorMk
0.1338,0.0959,0.0133,0.0136,0.0249,0.0649,0.9971,0.1835,0.3159,0.1889,0.0702,progenitorMk
0.1319,0.0984,0.0178,0.0173,0.0295,0.068,0.9936,0.1844,0.3342,0.2119,0.0644,progenitorMk
0.131,0.1022,0.0176,0.0187,0.0306,0.0736,0.9944,0.1818,0.3574,0.2297,0.0612,progenitorMk
0.1287,0.1046,0.0183,0.0249,0.0328,0.0765,0.9916,0.1802,0.3742,0.2494,0.0563,progenitorMk
0.131,0.1101,0.0177,0.0258,0.0343,0.082,0.9921,0.1784,0.3941,0.2735,0.0499,progenitorMk
0.133,0.1113,0.0163,0.0292,0.0341,0.0884,0.9929,0.1759,0.4161,0.2965,0.0487,progenitorMk
0.1331,0.1108,0.0168,0.0301,0.0328,0.0966,0.9899,0.1746,0.4367,0.3187,0.0448,progenitorMk
0.1325,0.117,0.0188,0.0313,0.0335,0.1004,0.9907,0.1715,0.4538,0.3406,0.0392,progenitorMk
0.1313,0.1186,0.0159,0.0325,0.0334,0.1083,0.9959,0.1721,0.4705,0.3639,0.0325,progenitorMk
0.1327,0.1228,0.0169,0.0357,0.0351,0.113,0.9935,0.1714,0.4889,0.3908,0.0292,progenitorMk
0.1318,0.1231,0.0182,0.0402,0.0392,0.1134,0.9964,0.1687,0.5106,0.4135,0.0249,progenitorMk
0.1324,0.1231,0.0154,0.042,0.0405,0.1171,0.9979,0.1619,0.5261,0.4353,0.0234,progenitorMk
0.1343,0.1249,0.0152,0.0387,0.0427,0.122,0.9968,0.1609,0.537,0.4564,0.0224,progenitorMk
0.13,0.1314,0.0128,0.0384,0.0446,0.1286,0.9946,0.1644,0.5527,0.4742,0.0189,progenitorMk
0.1304,0.138,0.011,0.0411,0.0501,0.1323,0.9924,0.1626,0.5645,0.4891,0.0177,progenitorMk
0.1319,0.1409,0.0112,0.0408,0.0522,0.1358,0.9959,0.1565,0.5794,0.5105,0.0158,progenitorMk
0.132,0.1423,0.0148,0.0405,0.0527,0.1439,0.9954,0.1541,0.5936,0.5271,0.0134,progenitorMk
0.1337,0.1444,0.0149,0.0394,0.0538,0.1524,0.9932,0.1501,0.6048,0.5377,0.0165,progenitorMk
0.1403,0.1446,0.0189,0.0433,0.0591,0.1615,0.9928,0.1409,0.6108,0.5469,0.0167,progenitorMk
0.1458,0.1515,0.0225,0.0448,0.0618,0.1697,0.9947,0.133,0.6093,0.5478,0.0163,progenitorMk
0.1517,0.1589,0.0183,0.0453,0.0622,0.1766,0.9942,0.1302,0.6084,0.5494,0.0173,progenitorMk
0.1658,0.1653,0.0184,0.0475,0.0625,0.1858,0.9959,0.1264,0.6064,0.5526,0.0146,progenitorMk
0.1742,0.1778,0.0195,0.0495,0.0659,0.1936,0.992,0.121,0.6082,0.5535,0.0123,progenitorMk
0.1822,0.1883,0.0212,0.05,0.0709,0.2076,0.9921,0.1145,0.602,0.5559,0.0104,progenitorMk
0.1953,0.2046,0.0223,0.0519,0.075,0.2202,0.9906,0.1086,0.6021,0.5551,0.0082,progenitorMk
0.2072,0.2177,0.0236,0.0568,0.077,0.2356,0.9866,0.1018,0.5924,0.5497,0.0087,progenitorMk
0.2204,0.2341,0.0253,0.0591,0.0813,0.2546,0.9867,0.0959,0.5819,0.5469,0.0066,progenitorMk
0.2384,0.25,0.0309,0.0648,0.0905,0.2749,0.986,0.0891,0.5676,0.5356,0.0107,progenitorMk
0.259,0.2732,0.0331,0.0696,0.095,0.2949,0.983,0.08,0.5518,0.5183,0.012,progenitorMk
0.2855,0.2967,0.0355,0.0749,0.0987,0.3245,0.9796,0.0707,0.5339,0.5023,0.0119,progenitorMk
0.3114,0.3265,0.0413,0.0799,0.1034,0.3546,0.9674,0.0636,0.516,0.4791,0.0158,progenitorMk
0.3361,0.351,0.0468,0.0843,0.1122,0.3824,0.9585,0.0582,0.4911,0.4562,0.0133,progenitorMk
0.3642,0.3795,0.0541,0.0863,0.1179,0.4124,0.9469,0.0555,0.4691,0.4329,0.0085,progenitorMk
0.3915,0.406,0.062,0.0934,0.1285,0.4424,0.9331,0.0504,0.4429,0.4113,0.006,progenitorMk
0.4212,0.438,0.0669,0.0992,0.1376,0.4741,0.9155,0.0448,0.4192,0.3838,0.006,progenitorMk
0.4505,0.4717,0.0783,0.1032,0.1436,0.5062,0.8945,0.0403,0.3923,0.3633,0.0053,progenitorMk
0.4778,0.5056,0.0902,0.1048,0.154,0.5419,0.8721,0.037,0.369,0.3413,0.006,progenitorMk
0.5013,0.5348,0.1019,0.1075,0.1638,0.5713,0.8471,0.0393,0.3464,0.32,0.0068,progenitorMk
0.5229,0.5656,0.1118,0.1113,0.1708,0.5998,0.8157,0.0334,0.325,0.302,0.0077,progenitorMk
0.5374,0.5936,0.1254,0.1195,0.178,0.6251,0.7827,0.03,0.3022,0.2822,0.012,progenitorMk
0.5561,0.6225,0.1379,0.1237,0.1819,0.6522,0.7452,0.0282,0.2821,0.2621,0.0086,progenitorMk
0.5745,0.6476,0.1486,0.1276,0.1891,0.6749,0.7064,0.029,0.2654,0.2415,0.0102,progenitorMk
0.586,0.6673,0.1637,0.1308,0.1967,0.7012,0.67,0.0286,0.2482,0.2281,0.0101,progenitorMk
0.5977,0.6887,0.1796,0.1275,0.2039,0.7211,0.6309,0.0275,0.2277,0.2135,0.0094,progenitorMk
0.6047,0.7132,0.1913,0.124,0.2066,0.7383,0.5963,0.0271,0.2098,0.1965,0.0095,progenitorMk
0.6062,0.7335,0.2059,0.1224,0.2078,0.756,0.5624,0.0255,0.1964,0.1884,0.0105,progenitorMk
0.6109,0.753,0.2235,0.1244,0.2128,0.7755,0.5265,0.0242,0.1815,0.1737,0.0091,progenitorMk
0.6146,0.7702,0.24,0.122,0.2214,0.7929,0.4944,0.0226,0.1658,0.1568,0.0106,Mk
0.6133,0.7925,0.2536,0.1253,0.2293,0.8087,0.4595,0.0204,0.1536,0.1447,0.0145,Mk
0.6132,0.8084,0.2681,0.1247,0.2353,0.8239,0.4301,0.0179,0.1474,0.1325,0.0138,Mk
0.6123,0.8224,0.282,0.1242,0.2394,0.8347,0.4021,0.0184,0.1329,0.1249,0.015,Mk
0.6145,0.8367,0.2948,0.1239,0.2436,0.8485,0.3738,0.0174,0.1194,0.1171,0.0159,Mk
0.6145,0.8518,0.3048,0.1233,0.2476,0.8616,0.3481,0.0153,0.1079,0.1057,0.0195,Mk
0.6105,0.8596,0.3164,0.117,0.2511,0.8726,0.3232,0.0189,0.0982,0.0987,0.0252,Mk
0.6082,0.8679,0.3239,0.1148,0.2573,0.8837,0.3023,0.014,0.0918,0.0916,0.0231,Mk
0.6029,0.8785,0.3343,0.1136,0.2647,0.8909,0.2793,0.0152,0.0855,0.0827,0.024,Mk
0.5972,0.8892,0.3419,0.1132,0.2733,0.8962,0.2563,0.0143,0.0805,0.0739,0.0212,Mk
0.593,0.8977,0.352,0.1102,0.2835,0.9015,0.2454,0.0153,0.0723,0.0667,0.0227,Mk
0.5904,0.9027,0.3626,0.1064,0.2885,0.904,0.23,0.0175,0.0702,0.0563,0.0269,Mk
0.5854,0.9079,0.3738,0.1042,0.2973,0.9088,0.2161,0.0166,0.0677,0.0502,0.0335,Mk
0.5791,0.9123,0.3815,0.0991,0.3081,0.9134,0.2014,0.015,0.0644,0.0448,0.0424,Mk
0.5734,0.9196,0.3842,0.0967,0.3144,0.915,0.1886,0.0161,0.0571,0.0446,0.051,Mk
0.572,0.9242,0.3939,0.0955,0.3255,0.9216,0.1806,0.0166,0.055,0.0433,0.0613,Mk
0.5693,0.9266,0.3993,0.0931,0.334,0.9285,0.1703,0.0191,0.0493,0.0434,0.069,Mk
0.5637,0.9325,0.4048,0.0911,0.3437,0.9311,0.1634,0.0172,0.044,0.0363,0.0776,Mk
0.564,0.9374,0.4062,0.0882,0.3511,0.9336,0.1551,0.0163,0.0359,0.0336,0.09,Mk
0.5573,0.9415,0.4106,0.088,0.357,0.9397,0.1488,0.016,0.0337,0.0302,0.1021,Mk
0.5567,0.9418,0.416,0.0857,0.368,0.9424,0.1414,0.014,0.0342,0.0283,0.1116,Mk
0.5563,0.9457,0.4248,0.0818,0.3785,0.9429,0.1325,0.0116,0.0287,0.0268,0.1233,Mk
0.5556,0.9516,0.4335,0.0794,0.3867,0.9433,0.1265,0.0125,0.0311,0.0262,0.1334,Mk
0.5563,0.9528,0.4388,0.0723,0.3959,0.9424,0.1186,0.011,0.0295,0.0263,0.1412,Mk
0.5528,0.9601,0.4433,0.07,0.4111,0.9493,0.1117,0.0067,0.0232,0.0254,0.1458,Mk
0.5508,0.9611,0.4462,0.0657,0.4208,0.95,0.1056,0.0076,0.022,0.025,0.1501,Mk
0.5461,0.9659,0.4464,0.0589,0.4324,0.9558,0.1045,0.0097,0.0207,0.0235,0.1582,Mk
0.5407,0.9671,0.4543,0.0574,0.4467,0.957,0.0989,0.0075,0.0153,0.0199,0.1668,Mk
0.5386,0.9722,0.4552,0.0545,0.4626,0.9565,0.0942,0.0052,0.0142,0.0222,0.1756,Mk
0.5342,0.9736,0.4578,0.0511,0.4796,0.9571,0.0923,0.0042,0.0114,0.0231,0.1771,Mk
0.5322,0.9778,0.461,0.0522,0.4957,0.9609,0.0895,0.0053,0.0083,0.0188,0.176,Mk
0.53,0.9788,0.4647,0.0483,0.5048,0.9638,0.0876,0.007,0.0057,0.0175,0.1814,Mk
0.5297,0.9799,0.4645,0.0448,0.5176,0.9651,0.0842,0.009,0.0092,0.0147,0.1867,Mk
0.5276,0.9806,0.4622,0.0438,0.5283,0.9657,0.0863,0.0104,0.009,0.0162,0.1956,Mk
0.5225,0.984,0.4665,0.0443,0.543,0.9695,0.0836,0.0095,0.0089,0.0148,0.199,Mk
0.5211,0.9893,0.4701,0.0392,0.5553,0.9722,0.0823,0.0105,0.0054,0.016,0.204,Mk
0.5193,0.9865,0.4723,0.0388,0.5671,0.9713,0.0817,0.009,0.0065,0.0148,0.2036,Mk
0.5193,0.989,0.4766,0.038,0.5799,0.9712,0.0767,0.0101,0.0086,0.0167,0.2095,Mk
0.5183,0.9896,0.4782,0.0351,0.5924,0.9741,0.0725,0.0099,0.0075,0.0155,0.2106,Mk
0.5161,0.9925,0.4793,0.0352,0.6065,0.9739,0.0703,0.0086,0.0039,0.0138,0.2103,Mk
0.5121,0.9907,0.4835,0.0379,0.6172,0.9718,0.0726,0.0059,0.0044,0.0106,0.217,Mk
0.5095,0.9902,0.4881,0.0357,0.6224,0.9717,0.0693,0.0079,0.0015,0.0098,0.2182,Mk
0.5113,0.9913,0.4882,0.0269,0.6319,0.9723,0.0666,0.0065,0.0035,0.0069,0.2238,Mk
0.508,0.995,0.4878,0.0221,0.6414,0.9749,0.0679,0.0083,0.0038,0.006,0.2287,Mk
0.5101,0.994,0.4849,0.0224,0.6498,0.9791,0.0648,0.0056,0.0015,0.0086,0.2334,Mk
0.5097,0.9976,0.4885,0.0212,0.6592,0.9789,0.0648,0.0103,0.0005,0.0095,0.2318,Mk
0.5057,0.9954,0.488,0.022,0.6733,0.9736,0.0656,0.0104,-0.0017,0.0097,0.233,Mk
0.5044,0.993,0.4898,0.0208,0.6828,0.9782,0.0685,0.0081,-0.0008,0.0078,0.2322,Mk
0.5033,0.991,0.4898,0.0212,0.6892,0.9773,0.0693,0.0104,-0.0011,0.0051,0.2389,Mk
0.5076,0.9891,0.4886,0.0177,0.6959,0.9761,0.0666,0.0102,-0.0013,0.0043,0.2472,Mk
0.5089,0.9918,0.4873,0.0151,0.7038,0.9751,0.0669,0.0107,0,0.006,0.2537,Mk
0.5096,0.9946,0.4864,0.0158,0.7087,0.9759,0.0662,0.009,0.0014,0.0074,0.2531,Mk
0.515,0.9942,0.4861,0.0175,0.7135,0.9762,0.0645,0.0068,0.0024,0.0066,0.2531,Mk
0.5124,0.9952,0.4907,0.0158,0.7191,0.9779,0.0661,0.0073,0.0016,0.005,0.2577,Mk
0.5115,0.9897,0.4923,0.0148,0.7236,0.9791,0.0627,0.0048,0,0.0086,0.2573,Mk
0.5152,0.991,0.4919,0.0172,0.7278,0.9808,0.0647,0.0041,-0.001,0.0081,0.2586,Mk
0.5129,0.9949,0.4913,0.0154,0.7304,0.9836,0.0635,0.0043,1.00E-04,0.0086,0.259,Mk
0.5117,0.994,0.4897,0.0154,0.737,0.9834,0.0637,0.0065,-0.0014,0.0064,0.2578,Mk
