Cbfa2t3h,Cdh1,Cdh5,Egfl7,Erg,Ets1,Ets2,Etv2,Etv6,Fli1,FoxH1,FoxO4,Gata1,Gfi1,Gfi1b,HbbbH1,Hhex,HoxB2,HoxB4,HoxD8,Ikaros,Itga2b,Kdr,Kit,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Myb,Nfe2,Notch1,Pecam1,Procr,Runx1,Sfpi1,Sox17,Sox7,Tal1,Tbx20,Tbx3,labels
-4.588183,-14,2.140341,-0.70889044,-4.298721,-1.2790093,1.589746,-4.1451936,-3.4386718,2.830446,-0.15062198,-1.171847,-14,-14,-4.487586,-4.023042,-2.4237485,-14,-14,-14,-14,-5.395163,1.6942819,-1.4983761,-1.3406191,-4.950444,-0.10528105,-14,-1.4932574,-14,-4.5564723,-14,-6.889788,-1.4330369,-14,-0.081788205,-3.6576128,-14,-1.8194776,-0.05907282,-6.592508,-5.3778453,HF
-3.4888885,-14,0.3576065,-3.3258317,-2.9911606,-2.4892752,0.9768036,0.33192316,-2.1910365,2.8288143,-1.1056896,-1.6202732,-14,-14,-14,-14,-0.77542037,-14,-3.7754862,-14,-14,-14,1.7336063,-4.0340266,-0.786173,-4.022971,-3.2099478,-14,-0.41764224,-14,-14,-14,-5.2953095,-0.6362282,-3.4928274,-6.0970254,-4.376377,-14,-1.274987,0.7023388,-4.823822,-4.4103756,HF
-5.0066133,-14,3.7121,-0.13741264,-1.1686401,-0.8706978,2.5079684,-14,-3.3398254,2.6973307,-0.4325703,-1.7914711,-14,-14,-14,-14,-0.8168689,-14,-4.1657796,-14,-14,-2.7582057,1.1829486,-0.76760477,-3.027979,-14,0.16088632,-14,-3.5165267,-14,-4.0556607,-5.777813,-6.326206,-0.38988322,-14,-1.5367272,-3.164662,-14,-3.072713,-0.42418504,-14,-14,HF
-14,-14,-14,-3.6289754,-14,-2.8182325,-1.1104217,1.7162673,-2.452341,-14,1.2985312,-0.5169162,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,1.3177494,-3.6035445,-0.43236363,-14,-14,-14,0.43057898,-14,-3.5618393,-14,-8.386472,-3.7090206,-14,-14,-14,-14,-14,-0.4762469,-6.615395,-4.3760815,HF
-14,-14,0.89047974,0.18845823,-14,-3.1468775,-0.012403962,-0.60095125,-2.0994616,3.2271438,-1.4309292,-14,-14,-14,-14,-14,-3.1009395,-14,-14,-14,-14,-4.0677013,1.5005363,-0.7699414,-14,-14,-2.1040654,-14,-14,-14,-14,-14,-4.5689964,-0.90368927,-14,-14,-14,-4.228303,-1.7220069,-0.18862768,-7.754461,-4.2254086,HF
-4.088389,-14,2.0902534,-0.8654995,-3.1915731,-0.67303175,1.5036454,-2.191299,-2.439575,2.820436,0.09422073,-1.8945944,-14,-14,-4.772532,-14,-3.8477557,-14,-2.3365715,-14,-14,-14,1.6446146,-3.6551967,-1.7711563,-3.9231026,-14,-4.866374,-1.0686976,-14,-4.1380725,-14,-5.578491,-2.5359454,-4.3164444,-5.4825463,-14,-14,-1.4495701,0.013555457,-7.290237,-14,HF
-14,-14,-14,-4.133572,-4.794703,-3.480741,-0.26102906,1.2157372,-4.1372952,-14,1.2416927,-1.4981953,-14,-14,-14,-3.4058144,-3.479906,-14,-14,-14,-14,-14,2.6509225,-3.3852136,-1.3921927,-14,-14,-14,-1.1153054,-14,-3.492157,-14,-5.1418705,-3.2552578,-14,-14,-14,-14,-2.018712,0.87712747,-5.5085053,-14,HF
-14,-1.4946716,-14,-14,-14,-14,-1.9966835,-14,-14,-14,-14,0.43025768,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-4.799694,-4.9736485,-14,-14,-14,-14,-14,-3.755185,-14,-14,-5.254235,-14,-8.5752,-3.73294,HF
-14,-1.3892871,-14,-5.7565613,-14,-14,-4.0864897,-0.35846642,-6.2978425,-4.435825,0.074740216,0.6674443,-14,-14,-14,-3.4880075,-14,-14,-14,-14,-4.7789874,-5.6281223,-2.311673,-2.801103,-2.6173174,-14,-14,-14,-0.7417338,-6.513313,-2.28097,-14,-14,-14,-14,-6.530495,-14,-14,-14,-14,-7.047694,-5.554937,HF
-4.3501186,-14,-1.0769881,-1.8295054,-4.747563,-5.976855,-2.2775548,1.1668997,-1.9211544,0.4894966,1.0247737,-0.82140076,-14,-14,-14,-14,-1.5453337,-14,-14,-14,-14,-14,2.4938114,-14,-1.8768044,-4.458552,-3.497168,-5.044653,-2.3886068,-14,-14,-14,-4.6563625,-14,-14,-14,-14,-14,-1.448071,1.836632,-7.3025165,-14,HF
-5.244012,-14,3.4506004,-0.5840777,-3.0254226,-0.9664967,2.2185256,-3.054422,-3.1713798,3.2999163,0.5973415,-1.3700893,-14,-2.5577817,-14,-14,-2.6873078,-14,-3.90713,-14,-14,-3.9167404,0.95974874,-2.1507154,-1.9221563,-5.8442583,-0.22894992,-14,-2.0049632,-14,-14,-14,-5.341082,-1.0006043,-14,-2.4291158,-14,-14,-1.6443975,0.53221893,-14,-14,HF
-5.2870874,-14,0.23391499,-2.4399362,-3.1517997,-2.7220736,0.8574465,-1.1555694,-2.9867156,3.238693,0.6687604,-2.3438509,-14,-14,-14,-14,-0.82574874,-14,-14,-14,-14,-14,1.9091469,-3.9817345,-1.990906,-3.8698416,-2.3951507,-5.0354176,-0.90393966,-7.4050117,-4.257033,-14,-5.5192266,-3.290456,-4.060817,-4.617145,-14,-14,-2.4899092,0.59410924,-7.138046,-4.7205224,HF
-3.2100918,-14,2.4916515,-0.6674714,-4.1093397,-0.8050595,1.3444929,0.54269284,-1.760658,3.659293,-0.009726672,-2.7139165,-14,-14,-14,-14,-1.1546683,-14,-3.782169,-14,-14,-3.1275864,2.7331455,-2.3160748,-1.5535015,-3.8607872,-0.82853717,-14,-0.9871231,-5.514797,-14,-14,-3.9594624,-0.6547531,-14,-1.8015124,-3.0239973,-14,-2.5702257,1.0943993,-4.9600058,-14,HF
-14,-14,2.3255053,-0.3500174,-2.1891892,-1.1610779,2.6754248,-1.2886819,-1.7128094,3.4162228,0.61071587,-0.2659693,-14,-3.3583765,-14,-14,-3.3788393,-14,-3.609023,-14,-4.911786,-4.354701,1.6993902,-1.6140884,-1.1593297,-2.6518018,-0.6932986,-14,-4.136707,-6.4115252,-3.7082546,-14,-3.303645,-0.5264998,-1.8257302,-2.1424787,-14,-14,-0.99041617,1.2072023,-7.4962873,-14,HF
-3.689776,-14,-14,-3.7124994,-14,-3.0538697,-1.9122279,0.7689806,-2.5210502,1.7906876,0.8393473,-1.200151,-14,-14,-14,-3.2989798,-0.036560737,-14,-3.7940671,-14,-14,-14,1.34117,-3.9910548,-1.2908672,-14,-2.6764643,-14,-0.23224646,-14,-14,-14,-7.5761285,-14,-2.258898,-4.973243,-14,-4.363106,-2.4745555,1.5936768,-3.7590318,-5.8784127,HF
-14,0.7850694,-14,-14,-14,-6.0358486,0.6813814,-14,-5.442054,-14,-0.6305467,0.4766849,-14,-14,-14,-14,-14,-14,-3.4485946,-14,-14,-14,-14,-3.643775,-3.5200033,-14,-14,-14,-3.1431034,-14,-14,-14,-8.033091,-14,-14,-14,-14,-1.804861,-14,-14,-14,-4.5282116,HF
-14,-0.45392615,-14,-5.363145,-14,-14,-0.41087276,-14,-14,-14,-0.5698179,0.8947328,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-4.249269,-14,-2.3016791,-5.0447254,-14,-6.6747017,-14,-14,-14,-14,-14,-3.696243,-4.832829,-14,-14,-14,-14,-4.8481636,HF
-4.406639,-8.812564,-2.5217068,-2.1983604,-5.7918277,-4.725981,-0.5431066,-0.21549425,-1.6363715,2.2749932,-0.06942019,-0.870736,-14,-14,-14,-14,-2.6530843,-14,-14,-14,-14,-14,1.5277362,-1.5795958,-0.53443885,-6.7055674,-2.9098344,-14,-1.0229251,-14,-5.0995407,-14,-6.0734925,-3.2491567,-3.8736405,-4.3181334,-14,-14,-1.2770704,0.8107377,-7.100878,-14,HF
-2.9418342,-14,3.8509176,0.03371434,-1.897765,-1.349867,2.2253125,-1.445627,-2.248757,3.8374894,0.2586498,-1.7211008,-14,-14,-14,-14,-1.6813524,-14,-3.0761855,-14,-14,-14,1.7016534,-2.055839,-0.6387433,-7.3743134,-0.8165788,-14,-0.47282666,-14,-14,-14,-5.523384,0.03947697,-2.606225,-3.093799,-14,-3.5083075,-2.5946214,0.51747453,-14,-5.2183146,HF
-14,-14,-1.2005076,-1.7131336,-1.9201804,-6.309862,-2.0220582,2.4670296,-1.602584,1.15377,2.1769207,-0.6219009,-14,-14,-14,-14,-0.5283294,-14,-14,-14,-14,-14,2.535836,-3.0882213,-0.03158382,-14,-14,-14,-0.72078764,-14,-14,-14,-4.2737384,-5.415098,-14,-5.7336626,-14,-3.9553437,-5.2553,1.8133092,-14,-5.230627,HF
-1.7702954,-14,3.2878003,-1.412556,-2.2915986,-2.7643,0.42900443,-4.660878,-2.186087,1.7882798,0.040727757,-0.82270205,-14,-3.3791199,-3.3596065,-0.5062052,-1.2365345,-14,-14,-14,-3.615405,-4.9839783,-0.24226901,-1.1280311,-2.1764953,-5.9572926,-0.37291875,-14,-1.8079611,-14,-2.225177,-5.471935,-5.4458995,-0.5669146,-0.7385163,0.0809317,-2.6774971,-14,-4.226497,0.15561184,-8.382251,-14,HF
-2.2890732,-14,0.30876777,-1.8199588,-14,-1.0091239,1.4168974,-2.3711426,-2.5559275,2.2907186,1.1377964,0.1307802,-4.1701474,-5.1665483,-0.40635046,-1.9729992,-1.732793,-14,-2.3181448,-14,-1.762836,-3.7335246,1.0316759,-3.2993433,-1.5888507,-4.0594034,-2.0684466,-14,-4.2862782,-14,-0.26327392,-5.6469607,-14,-2.9129276,-3.8545537,0.73086363,-4.5411673,-14,-1.5796177,-0.5815048,-6.1541505,-3.422898,HF
-2.801896,-14,1.9435719,-0.12668471,-14,-3.6658864,0.67280525,1.1658442,-1.6508591,2.882668,-0.41860995,-1.5458652,-14,-14,-14,-3.2235026,-1.226886,-14,-3.6088722,-14,-14,-14,2.5226808,-2.5695014,-0.53062886,-3.7188725,-3.559201,-3.6659045,-0.87215716,-14,-14,-14,-3.796787,-5.1609054,-14,-3.4627047,-5.708273,-2.3619592,-1.1297749,1.2931681,-5.5389595,-14,HF
-3.1953099,-14,2.6709676,0.7457145,-0.45990378,-0.27354535,2.3990123,-1.9847971,-2.247787,4.327906,0.15099311,-1.5080421,-14,-14,-5.1262236,-4.7854342,-1.8737354,-14,-1.047729,-14,-3.2012072,-14,1.7148397,-2.167173,-1.950251,-14,0.5090941,-14,-1.180408,-14,-14,-5.7135854,-5.696088,-1.2162728,-4.112931,-3.8293555,-14,-3.4911296,-1.621905,1.0107725,-7.737524,-14,HF
-3.3696322,-14,3.7084897,-0.15485822,-2.9764872,-1.0838279,0.7447519,-3.835269,-2.5833263,3.6658635,0.39741996,-0.95647824,-14,-14,-3.807879,-14,-1.1082058,-14,-3.7521882,-14,-5.206243,-2.1545775,2.0334241,-0.98163337,-4.255721,-14,-0.953232,-14,-0.9203961,-14,-4.870131,-14,-4.7943153,-0.079743214,-3.2230997,-1.7051784,-5.134471,-2.2477531,-1.0739831,-0.15679906,-7.9218764,-14,HF
-2.3343122,-14,2.5485094,-4.1769285,-5.4129367,-6.8328166,0.68893564,-14,-1.942994,-0.3772798,-0.469786,-0.8757409,-4.171083,-14,-2.0456917,-2.6535685,-2.7572892,-14,-5.7635417,-14,-1.3708175,-2.8002765,-1.1518105,-0.42964765,-2.3295116,-14,0.49139223,-14,-2.8762596,-6.95691,0.305929,-3.366906,-5.3676734,-1.6421295,-5.715272,0.7191669,-0.95071936,-14,-4.9338875,-1.4943113,-14,-14,HF
-1.969857,-14,2.6757479,-0.68377644,-2.740841,-0.44333476,1.871502,-0.95764714,-2.5752032,3.7919145,0.5271944,-0.9701444,-14,-14,-14,-14,-1.3193064,-14,-1.3770518,-14,-4.827286,-3.5598795,2.2875388,-0.86428905,-1.7241336,-4.9075246,-0.7979515,-4.4832783,0.060367655,-14,-14,-14,-2.0767992,-1.0150896,-14,-2.7402399,-14,-2.122021,-0.8869462,0.5609204,-4.63514,-14,HF
-14,0.97026944,-14,-3.864515,-14,-5.20282,-0.33710915,-14,-14,-14,0.7979926,-2.0426168,-14,-14,-14,-2.6255863,-14,-14,-3.1048532,-14,-14,-14,-14,-0.8244862,-3.284084,-14,-14,-14,-14,-4.7788215,-14,-14,-14,-14,-14,-4.6410875,-14,-2.2518132,-14,-14,-14,-1.8562595,HF
-1.3312025,-14,-2.6057966,-3.1009433,-3.6283782,-2.1986609,-1.2001244,-3.8767948,-4.9182334,1.2251601,0.9891961,0.70692426,-14,-4.080525,-1.2523898,-5.2506685,-2.1128666,-14,-1.4698799,-14,-2.9069636,-4.559397,-0.01453641,-2.4189994,-1.5194359,-14,-0.9952816,-14,-4.2558055,-14,0.13022956,-14,-7.219238,-2.7138655,-14,0.10861819,-14,-14,-2.602516,-0.3717318,-4.6310773,-5.1946015,HF
-2.4002733,-1.2410078,0.74814284,-2.1201215,-5.7393546,-2.4305534,-0.08685353,-0.50926447,-2.2333407,1.6435639,-0.54141474,0.38418975,-3.9664,-6.4378586,-3.6412349,-2.2904098,-2.1529546,-14,-3.0238667,-14,-3.0200136,-5.9111056,-0.68344903,-2.844048,-2.300947,-5.145037,-1.6185251,-5.9420667,-4.3762975,-14,-1.6491802,-6.295634,-9.162446,-3.0298295,-5.616246,-1.0844464,-6.30678,-5.431782,-2.9330168,0.18666375,-6.2219844,-6.0147033,HF
-4.5984645,-14,2.1892996,-5.1072693,-3.8007178,-2.3133762,0.5954505,-4.759715,-2.663581,2.5807633,0.03054192,-0.19983545,-2.2405484,-14,-1.9515958,-14,-2.405732,-14,-4.546438,-14,-2.1409922,-3.5713942,-0.934083,-2.4464219,-2.8806746,-4.364462,-0.42366558,-14,-14,-14,-0.5005199,-4.3419375,-6.6473923,-1.3974955,-14,0.07638941,-2.483024,-14,-3.7789516,-0.46566316,-7.9860253,-4.3798437,HF
-14,1.0272841,-14,-14,-14,-14,-1.9598181,-14,-14,-14,-2.1953242,2.159918,-14,-14,-14,-0.92206186,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-1.724587,-14,-14,-14,-14,-14,-2.0861616,HF
-14,-14,-14,-1.4957695,-4.3216105,-2.1752822,-2.3705013,1.4534593,-1.1375574,0.45905468,0.5319172,0.41968197,-14,-14,-14,-14,-0.90315545,-14,-14,-14,-14,-4.0934367,1.8096125,-2.864295,-1.0982764,-14,-1.5257962,-14,-0.5098558,-5.0817986,-14,-14,-6.732071,-2.4269996,-3.8193417,-14,-14,-3.69198,-3.292208,0.029962944,-7.3998833,-14,HF
-5.5367055,-14,-14,-4.054072,-14,-6.0582457,-4.091536,1.9392898,-3.2105937,-2.5144103,1.0373104,-1.5704865,-14,-14,-14,-14,-2.9013588,-14,-14,-14,-14,-14,1.2801319,-14,-2.0045607,-14,-14,-14,-0.51948553,-14,-14,-14,-5.7582707,-14,-14,-4.976342,-14,-14,-6.2148094,1.0220287,-9.33821,-3.1615267,HF
-3.5755727,-14,0.36132252,-1.3575618,-4.9152336,-1.6407136,0.088762395,0.5596243,-2.313778,3.146697,1.0748161,0.14366549,-14,-14,-14,-14,-0.24144034,-14,-5.529073,-14,-5.3936605,-4.7763834,1.9140687,-3.1983542,-0.24928778,-4.9417686,-0.95896286,-14,-3.3680649,-14,-14,-14,-3.7474554,-3.1802788,-2.5823426,-2.8462412,-4.899416,-14,-0.2492027,0.5107685,-4.7780237,-4.583174,HF
-14,-14,-14,-1.4998648,-3.8226674,-1.792095,-1.3371303,1.8785594,-1.6810286,0.47161758,1.0843282,0.5725504,-14,-14,-14,-2.9109957,-0.9092363,-14,-14,-14,-14,-14,2.072516,-1.6189494,-0.24550736,-14,-14,-14,-1.3801509,-7.6074834,-14,-14,-6.595742,-4.24217,-14,-14,-14,-1.968636,-2.00858,0.7204716,-14,-4.016457,HF
-4.5954995,-14,4.328837,-0.4281285,-2.4895833,-1.5084581,2.1617513,-0.5529686,-1.3849927,2.9712186,0.49104965,-2.3227725,-14,-14,-14,-14,-2.7889893,-14,-14,-14,-14,-2.6605806,2.05841,-2.15622,-3.2869854,-4.075612,-0.33922255,-2.9910939,-1.209284,-14,-14,-14,-5.0810475,0.43308932,-3.4382532,-0.94832206,-4.7803764,-2.5939558,-1.1059369,0.885495,-6.0207644,-3.22935,HF
-2.287299,-14,3.9181278,-1.1579703,-2.5412927,-4.5713058,1.8940868,-3.643821,-2.4207537,1.8511789,0.88351977,-0.31716213,-3.2238493,-14,-1.7849011,0.29246375,-4.8477926,-14,-14,-14,-0.8911699,-2.2323165,0.35573703,-0.20987482,-0.9048633,-5.278899,1.1902993,-14,-1.5494548,-6.6276474,0.5083455,-2.717932,-7.5723,-1.0433191,-14,0.8313157,-0.00974749,-14,-5.559156,0.37391734,-9.056934,-14,HF
-14,-0.42743075,-14,-5.5318556,-14,-14,-1.8742906,-14,-4.9932237,-14,-2.201603,1.2780007,-14,-4.673244,-14,-14,-14,-14,-3.9528482,-14,-14,-14,-14,-5.3418164,-3.9885812,-14,-3.6462753,-14,-14,-14,-14,-14,-14,-14,-14,-2.8750157,-14,-14,-5.0067015,-14,-14,-4.211798,HF
-2.2918396,-14,2.6731222,-0.68092304,-2.8414955,-1.0983875,0.6780123,-2.7236724,-2.5993688,4.163421,0.047783494,-2.2100194,-14,-14,-4.186295,-14,-2.7367287,-14,-2.3656204,-14,-3.8443437,-5.133921,1.2436229,-2.7012324,-0.7409385,-5.46983,-0.85589755,-14,-0.59883887,-14,-3.6529503,-14,-5.6344886,-1.6378388,-14,-2.782791,-5.224091,-3.7808452,-1.3435999,0.86029774,-8.750362,-3.0901563,HF
-4.60007,-14,3.396227,-0.6574973,-3.296725,-1.4622506,1.9416283,-1.9509897,-2.2067082,3.6291065,-1.0022924,-1.55419,-14,-14,-4.053128,-14,-2.5987024,-14,-14,-14,-2.5750985,-3.4593296,1.4449065,-0.24443927,-2.9972174,-4.496606,0.06672515,-14,-4.859929,-14,-2.7147386,-6.1629457,-6.6508336,-1.3220379,-4.54615,-1.3716699,-4.3648763,-4.930637,-2.2653098,0.15006548,-5.908298,-14,HF
-5.805473,-14,-14,-3.8624992,-14,-4.387417,-2.568448,1.4140142,-4.742676,-14,1.323957,-0.8804481,-14,-14,-14,-14,-3.858866,-14,-14,-14,-14,-14,1.1210665,-4.078768,-0.08348885,-14,-14,-7.1112185,-0.40069795,-14,-14,-14,-5.5926366,-14,-14,-14,-14,-14,-14,-0.57667637,-6.7144227,-14,HF
-14,-14,2.6073472,-1.9699574,-3.7701194,-0.9654547,1.4372125,-1.761464,-1.9147235,3.1898103,0.84746665,-0.5113814,-14,-5.103239,-14,-14,-6.971246,-14,-3.6284394,-14,-14,-14,1.9190332,-0.5420849,-1.42898,-14,-3.7479815,-14,-4.8214226,-14,-14,-14,-7.257547,-0.29312354,-14,-1.8733552,-14,-4.3866863,-1.8539737,0.8183891,-7.2320414,-4.7383432,HF
-14,0.125438,-14,-4.2624583,-14,-6.055278,-0.00152189,-14,-4.936726,-14,-1.243636,0.22276746,-3.6630023,-14,-14,-14,-14,-14,-4.0882077,-14,-14,-14,-14,-5.626515,-2.3566105,-9.055424,-14,-14,-3.539361,-14,-4.02748,-14,-14,-14,-14,-14,-14,-0.8614593,-14,-14,-14,-14,HF
-3.0481148,-14,1.1429653,-1.5674195,-1.6881361,-1.5341693,0.52261585,-1.803593,-3.0711734,3.2144935,0.38554677,-0.4181884,-14,-14,-14,-14,-3.132001,-14,-1.7260293,-14,-4.636804,-4.784688,1.6697315,-1.2293016,-1.3309278,-5.9532266,0.5357824,-3.1391802,-0.9214994,-14,-14,-6.055987,-5.1163177,-0.15192504,-14,-2.7581985,-14,-3.1006615,-1.2322557,0.82724905,-5.7043624,-14,HF
-5.2125387,-14,0.2826156,-2.19477,-2.7289743,-3.2411823,-0.5450054,0.4361864,-0.6844865,2.2321784,1.8290048,-0.6552889,-14,-14,-14,-14,-0.20480748,-14,-14,-14,-14,-14,3.1367698,-4.2505817,-0.46821964,-3.7085552,-14,-14,-2.5384154,-14,-14,-14,-4.6980596,-3.446411,-14,-14,-3.1011343,-14,-1.5195603,1.2417084,-6.1637354,-4.1594505,HF
-1.9466206,-14,4.349825,-2.9545782,-2.584401,-3.9688716,1.2574137,-2.1326146,-1.5062457,2.6936295,0.1296962,-0.9771465,-14,-5.074933,-1.6566476,3.3228424,-1.8190072,-14,-14,-14,-4.9218535,-2.171197,0.77297634,-0.021937685,-0.88112783,-6.068971,-0.7830709,-14,-2.9684732,-6.401651,-1.4469006,-2.7839456,-7.201119,-0.19745573,-14,1.5108222,-1.2432127,-14,-5.72302,0.25136772,-14,-14,HF
-14,1.4424318,-14,-3.7040899,-14,-5.314225,0.4761884,-14,-6.0661087,-14,-0.5696767,-0.92140913,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-0.38989675,-2.1144278,-14,-14,-14,-2.5796542,-6.2365417,-14,-14,-5.0308666,-14,-14,-3.9336743,-14,-1.775707,-14,-2.9149313,-14,-14,HF
-3.2293606,-14,2.9369838,-3.0130992,-5.732057,-6.842182,0.91266304,-2.5200136,-1.6714768,0.9845039,-0.1785129,-1.8181192,-5.077789,-14,-2.6503866,-4.307415,-4.618198,-14,-14,-14,-2.526082,-2.6783202,-0.18097532,-0.82208073,-1.8173108,-6.3298774,0.73561126,-14,-4.098971,-6.644351,-0.21506208,-3.6828408,-6.3926716,-1.2715988,-14,-0.17556526,0.20493354,-14,-14,0.24509259,-8.241744,-14,HF
-2.6429772,-14,-0.39580616,-1.24291,-4.6369066,-3.425925,0.9916368,1.511819,-1.6313808,2.4746168,0.74221724,-1.4920166,-14,-14,-14,-14,-2.1023576,-14,-6.267044,-14,-14,-14,2.194701,-4.6751513,-0.7912905,-5.29527,0.15173908,-14,-4.126355,-5.909318,-3.004424,-14,-5.3237495,-0.7800465,-14,-0.9890759,-14,-14,-0.98236245,1.2614307,-6.186491,-3.5858364,HF
-2.60034,-14,0.7014213,-1.3541083,-14,-1.0708071,0.98012334,-0.7457148,-14,1.817084,0.44147342,-1.3432816,-14,-14,-14,-4.5652165,-1.611122,-14,-2.3642492,-14,-4.7991595,-14,0.94382054,-6.0701003,-14,-14,-0.7078924,-4.9575477,-1.7162342,-14,-3.9217653,-14,-5.4684105,-1.4671854,-14,-1.831709,-4.168664,-14,-1.7575454,0.46275717,-5.8625374,-3.51883,HF
-1.4145693,-14,2.6526728,-1.4358456,-4.1463633,-2.026627,1.0387536,-14,-3.23836,2.9174418,1.2242333,-0.49223125,-2.2426784,-1.9577281,0.47410107,-0.53111887,-3.0885346,-14,-2.688671,-14,-1.7854342,-14,-0.53994435,-3.1873891,-4.3583565,-3.1822317,0.7040213,-14,-2.8132856,-14,-1.297434,-3.2559447,-14,-1.9435445,-4.1874666,1.574634,-2.8593175,-4.527946,-2.5922525,-0.60165733,-14,-14,HF
-5.1834016,-14,-1.0821078,-2.2956553,-4.8912697,-1.4600723,-0.9596345,-2.3063471,-1.7816772,3.4469295,0.17205955,0.84815973,-14,-14,-14,-14,-1.6372741,-14,-3.063558,-14,-14,-4.92567,1.2856005,-2.7416596,-2.4954367,-14,-0.89031285,-4.9002576,-1.4681827,-5.1631036,-14,-14,-3.943731,-3.0635178,-14,-2.368544,-14,-3.1001081,-1.4507997,-1.1478213,-5.1727533,-14,HF
-14,-14,3.389829,0.8931799,-1.116512,0.2715285,3.0926812,-1.853264,-2.8128757,4.494331,1.264206,0.09086157,-14,-14,-3.2211225,-14,-1.2376243,-14,-14,-14,-14,-14,2.6439154,-0.55294037,-0.4035008,-4.8729444,0.64818287,-4.204903,-0.74649614,-14,-1.2445189,-4.7188625,-5.411881,0.047105547,-14,-0.43281728,-14,-2.1488323,-1.2648689,0.84894073,-14,-3.792876,HF
-14,0.4642549,-14,-4.028765,-14,-14,-0.28613815,-14,-4.7971516,-14,-0.7026635,0.53580135,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-4.9170856,-4.5788827,-3.6282177,-14,-3.590836,-14,-14,-14,-14,-14,-14,-14,-14,-4.5071154,-14,-1.0742952,-14,-14,-14,-14,HF
-3.1272852,-14,0.95171255,-0.119177885,-2.491437,-0.44871712,2.3122036,-0.5194365,-1.515356,3.3254967,1.125718,-0.3311468,-14,-14,-14,-14,-1.7258497,-14,-2.24497,-14,-6.024206,-14,2.125264,-1.9779315,-1.2340329,-14,-1.1894598,-5.58242,-2.0973904,-14,-14,-14,-5.125138,-3.4252365,-4.6674175,-3.751049,-5.36761,-3.642535,-0.3618353,1.2101263,-4.692052,-4.13764,HF
-4.742123,-14,-14,-5.5974865,-14,-4.466772,-0.7851817,0.48338673,-3.4628232,-2.4513137,1.4920455,-1.5156827,-14,-14,-14,-14,-3.223021,-14,-14,-14,-14,-14,1.642099,-3.4056458,-0.8162974,-4.266845,-14,-3.2052004,-0.71807176,-14,-4.2484508,-14,-8.182332,-14,-14,-14,-4.520503,-14,-4.454598,1.5361362,-6.391504,-2.8344626,HF
-14,-14,-14,-4.4642096,-14,-4.0303383,-1.6784059,-0.5380329,-2.8540306,-14,1.1410905,-0.481706,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,0.4864883,-2.6194315,-1.6586107,-14,-14,-3.548185,-0.54802895,-6.7553186,-14,-14,-4.891921,-5.2592173,-14,-4.123392,-5.2041006,-14,-3.8512259,0.6667687,-7.498627,-2.855859,HF
-2.0813665,-14,2.4154668,0.40929553,-2.7307584,-0.9980904,1.7682722,-4.0271196,-3.441666,3.5165572,0.46247885,-1.4720465,-4.7069826,-14,-5.266493,-14,-5.1971636,-14,-1.4865663,-14,-2.7211342,-4.892098,1.6340648,-1.9767172,-0.90718186,-14,0.8774515,-14,-1.0497836,-14,-4.711342,-14,-6.487883,-0.8736428,-14,-2.3958223,-14,-4.7063413,-1.6800841,-0.79492897,-7.77505,-5.7114553,HF
-1.3737953,-14,-0.2687116,-0.6742326,-3.0458915,-1.3752912,0.78584933,-0.24128784,-2.393957,1.8929664,1.2862631,0.49846566,-3.906303,-14,-3.7876124,-14,-0.92849344,-14,-2.4834735,-14,-4.917473,-4.3745646,1.4347056,-2.8540766,-0.48831487,-14,0.47681203,-14,-14,-3.2461915,-2.3348796,-5.990405,-5.9015965,-3.2329984,-14,-4.4145346,-14,-14,-0.6386957,0.72813725,-5.502018,-14,HF
-5.0724797,-14,3.5163171,0.3471374,-4.2751026,-0.87436056,1.3689182,-1.4272075,-2.3637252,3.7178032,0.61543965,-1.7414503,-14,-14,-14,-14,-1.9075931,-14,-3.1081195,-14,-4.812187,-4.479555,1.5427761,-0.5067927,-0.796356,-14,-1.0826291,-14,-1.3182703,-14,-14,-14,-6.443046,-0.59791857,-14,-3.661915,-14,-14,-2.5024085,-0.7531732,-8.327724,-4.371935,HF
-1.9881315,-14,2.8941984,-0.9502666,-4.4313054,-2.1205478,2.1050508,-0.7744029,-2.428556,2.1365554,1.0579256,0.5042766,-3.0348494,-3.824022,-0.35720226,-14,-1.7014278,-14,-4.1237364,-14,-3.0411272,-3.9557834,-0.012626373,-1.4425304,-1.4432929,-6.361719,0.6316837,-14,-2.9350007,-6.7221904,-0.21578617,-3.444436,-7.0822787,-0.9446151,-4.6639132,1.1097088,-2.514865,-14,-2.3639634,0.848327,-14,-14,HF
